Hexagon,Circle,Tube
54.48001,20.41998,12.84
35.24001,20.23999,20.01999
22.64,9.099998,14.75999
30.58,22.39999,23.18001
20.78,12.58,16.10001
24.08,19.84,23.25999
19.12,14.5,11.02
80.42001,25.96001,12.93999
22.92,7.519997,7.37999
15.38,9.639999,9.939987
46.12,22.25999,17.67999
14.31999,15.03999,8.020004
16.54,7.099991,12.18001
15.81999,8.100006,27.22
16.34,9.360001,8.659988
25.48,17.03999,9.680008
34.44,14.86,19.12001
14.3,10.16,17.28
19.28001,11.78,10.31999
12.74,7.12001,12.14
8.579994,11.62001,8.940002
26.44,13.81999,13.56
16.56,12.37999,12.22
69.54001,13.26001,10.60001
14.28,8.060013,7.119995
