None,Colour,Audio
58.06,10.31998,13.09998
50.47998,12.95999,13.96002
12.98,7.940002,9.660019
60.5,14.60001,15.54001
18.31999,9.779999,11.56
16.84,21.64001,12.78
12.72,11.54001,10.28
37.96002,16.37997,21.5
15.2,5.080002,7.539993
11.54001,9.140015,10.84
31.41998,18.88,16.19998
17.85999,7.840027,11.08002
13.23999,6.000015,6.779999
26.95999,11.42001,9.420013
14.06,10.06,8.679993
13.89999,5.800018,10.5
57.34,75.09998,94.47998
18.62,12.36002,14.74002
11.86002,13.95999,8.73999
11.94,7.259995,7.419998
0.5200043,7.860001,9.220001
21.79999,9.540009,9.019989
18.48001,9.059998,9.820007
42.34,10.0,12.91998
7.419998,8.0,9.039993
